id,mu_global,share,seq,FAO90,sand,silt,clay,usda_tex,ref_bd,bd,C,SOC
12490,11682,100,1,Haplic Solonchaks,19,29,52,clay (light),1.23,1.23,0.54,19.926
12491,11683,100,1,Haplic Solonchaks,19,29,52,clay (light),1.23,1.23,0.54,19.926
12492,11684,100,1,Haplic Solonchaks,19,29,52,clay (light),1.23,1.23,0.54,19.926
12493,11685,100,1,Thionic Gleysols,4,45,51,silty clay,1.2,1.23,1.57,57.933
12494,11686,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12495,11687,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12496,11688,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12497,11689,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12498,11690,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12499,11691,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12500,11692,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12501,11693,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12502,11694,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12503,11695,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12504,11696,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12505,11697,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12506,11698,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12507,11699,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12508,11700,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12509,11701,100,1,Cumulic Anthrosols,29,50,21,silt loam,1.38,1.41,1.12,47.376
12510,11702,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12511,11703,100,1,Cumulic Anthrosols,90,6,4,sand,1.74,1.4,2.41,101.22
12512,11704,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12513,11705,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12514,11706,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12515,11707,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12516,11708,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12517,11709,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12518,11710,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12519,11711,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12520,11712,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12521,11713,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12522,11714,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12523,11715,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12524,11716,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12525,11717,100,1,Gelic Cambisols,74,16,10,sandy loam,1.58,1.48,0.7,31.08
12526,11718,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12527,11719,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12528,11720,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12529,11721,100,1,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
12530,11722,100,1,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
12531,11723,100,1,Mollic Leptosols,35,45,20,loam,1.4,1.14,3.02,103.284
12532,11724,100,1,Mollic Leptosols,35,45,20,loam,1.4,1.14,3.02,103.284
12533,11725,100,1,Mollic Leptosols,35,45,20,loam,1.4,1.14,3.02,103.284
12534,11726,100,1,Calcaric Cambisols,76,12,12,sandy loam,1.55,1.48,0.36,15.984
12535,11727,100,1,Eutric Leptosols,46,34,20,loam,1.42,1.39,1.13,47.121
